	markdown_path	ds	markdown_snippet	snippet_type
41	agenda_markdowns/2023_12_06_HESS_agenda.md	2023-12-06	"6. PUBLIC REVIEW: NY State Cannabis Retail License Applications

For Comment to the [NY State Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)

Applicants without a linked file did not submit the [District OCM Questionnaire](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-cannabis-licenses/).

| a.   | [314 Livingston](https://maps.app.goo.gl/KT8TurtGH4Rh4r7c7)    | DTV Enterprises       | [submitted details](https://drive.google.com/file/d/1TDKjBUzqesqDfWhwN4SgzZr-hLNqsywP/view?usp=drive_link)    |
|------|-------------------|-----------------------|----------------------|
| b.   | [44 Court](https://maps.app.goo.gl/bEZjoBV772YStbez7)          | Cannabist             | [submitted details](https://drive.google.com/file/d/1qSHtgDUb4eJtFIhW9pv6qE4tp8LwYrB8/view?usp=drive_link)    |
| c.   | [374 Atlantic](https://maps.app.goo.gl/pv78imwN6RRgtn358)      | Green World 374       | [submitted details](https://drive.google.com/file/d/1SNOySDp9TxMkOHdYIKArNuwxtBPvbHqs/view?usp=drive_link)    |
| d.   | [473 Myrtle](https://maps.app.goo.gl/MVpdbSRx6mnzojLY7)        | Kings County Catalyst | no details submitted |
| e.   | [530 Fulton](https://maps.app.goo.gl/3Ce6tyWPqk9WPk7g6)        | R and R Remedies      | no details submitted |
| f.   | (also) [530 Fulton](https://maps.app.goo.gl/3Ce6tyWPqk9WPk7g6) | The Higher Path       | no details submitted |
| g.   | [65 Jay](https://maps.app.goo.gl/yzF9CWL4bra7me2a7)            | Picasso Labs          | no details submitted |
| h.   | [541 Myrtle](https://maps.app.goo.gl/rLSwKffg7nqgVBHw6)        | Zenbud                | no details submitted |
| i.   | [946 Fulton](https://maps.app.goo.gl/cpW7M2wUAADR49ex6)        | Xander Legacy         | no details submitted |
| j.   | [339 Atlantic](https://maps.app.goo.gl/VFEinU5f5jm92cRv9)      | Hop Stock & Barrel IV | no details submitted |"	Snippet
42	agenda_markdowns/2023_12_06_HESS_agenda.md	2023-12-06	"For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

The following reviews are for NEW licenses. For RENEWAL notices, [click here](#).

- a. [368 Atlantic](https://maps.app.goo.gl/taYYJ5jG89Agr8zX6)  
  Deity II  
  [Alteration: Expansion](https://drive.google.com/file/d/1zpDdWab5NVk67qi1YdFN1efl-84vrjIC/view?usp=drive_link)

- b. [148 Montague](https://maps.app.goo.gl/hJkFDGfdY3uSVHug7)  
  Lady Wortley LLC  
  [WBC application](https://drive.google.com/file/d/1SEcul60RCuU2mCOabaDR-9HoFQ7iR1CQ/view?usp=drive_link)

- c. [28 Jay](https://maps.app.goo.gl/xgcfSiM6nDRbzntUA)  
  20 Jay St Wine  
  [WBC - incomplete app](https://drive.google.com/file/d/1s1cyYC_X9yw02PHCQzt0jt8rPQOoMDMn/view?usp=drive_link)

No details submitted - [Automatic Stipulations](https://drive.google.com/file/d/15XWtYOE42A_s5c_Sps8HtFyCADqzc1z_/view?usp=drive_link) issued by the District Office

| d.   | [110 Smith](https://maps.app.goo.gl/U3Q5g6frbBGM2sAQ6)         | Tipsy Grape        | CLASS - no details rec'd    |
|------|------------------|--------------------|-----------------------------|
| e.   | [85 Flatbush](https://maps.app.goo.gl/YMahANWP1yVTRLfD7)       | Hersha Hospitality | LWBC - no details submitted |
| f.   | [11 Water](https://maps.app.goo.gl/mCQEYEYxaUc7Wxd17)          | Levy Premium       | LWBC - no details submitted |
| g.   | [88 Livingston](https://maps.app.goo.gl/XrjL36EeJwnMv53R8)     | Vegan Fresh Fusion | WBC - no details submitted  |
| h.   | [884 Fulton](https://maps.app.goo.gl/DNf14MUNM6wof3bD6)        | Waytogo            | WBC - no details submitted  |
| i.   | [140 Schermerhorn](https://maps.app.goo.gl/oyFfzsBoMkADEcwQ8)  | Hersha Hospitality | (withdrawn)                |"	Snippet
43	agenda_markdowns/2024_01_03_HESS_agenda.md	2024-01-03	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

<!-- image -->

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
44	agenda_markdowns/2024_01_03_HESS_agenda.md	2024-01-03	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:  
Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary), Emily Anadu (Secretary Pro Tempore)

Members:  
Jannett Akent, Clara Alston, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
45	agenda_markdowns/2024_01_03_HESS_agenda.md	2024-01-03	"5. PRESENTATION and PUBLIC Q&A: [WTC Youth Research Cohort - presentation](https://drive.google.com/file/d/1aW9Em5uU7ZId06n0VJxNdekb0wvixcv9/view?usp=drive_link)
   - Informational; Committee Recommendation for Board Action welcome
   - Kimberly Flynn, Chair (WTC Health Program Survivors Steering Committee)"	Snippet
46	agenda_markdowns/2024_01_03_HESS_agenda.md	2024-01-03	"6. PUBLIC REVIEW: NY State Cannabis Retail License Applications
   - For Review & Comment to the [NY State Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)
   - Applicants without a linked file have not submitted the [District OCM Questionnaire](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-cannabis-licenses/).
   - a. [946 Fulton](https://maps.app.goo.gl/Szz6LoawAPKtspe96) - Xander Legacy - [application details](https://drive.google.com/file/d/1JSmt8lR1E4xN4_qdwAmt_pzMPx6VXkKP/view?usp=drive_link)
   - b. [137 Court](https://maps.app.goo.gl/zUcwibwD1J31X7cD6) - Buzzy NY, LLC - [application details](https://drive.google.com/file/d/1eq2vKed8arLdt9E7RSBIlD9ZIOp4hVYf/view?usp=drive_link)"	Snippet
47	agenda_markdowns/2024_02_07_HESS_agenda.md	2024-02-07	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

<!-- image -->

19th Borough President of Brooklyn

<!-- image -->"	Snippet
48	agenda_markdowns/2024_02_07_HESS_agenda.md	2024-02-07	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:  
Brandon Smith (Chair), Nicole McKnight (Vice Chair),  
Jessica Thurston (Secretary), Emily Anadu (Secretary Pro Tempore)

Members:  
Jannett Akent, Clara Alston, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:

Wednesday, February 07, 2024 @ 6:00 PM

[350 Jay St, Brooklyn NY 11201](https://goo.gl/maps/gZtBrHLm2jvkKUU89) / 8th Floor Conference Room"	Snippet
49	agenda_markdowns/2024_02_07_HESS_agenda.md	2024-02-07	"5. **PRESENTATION and PUBLIC Q&A:**  
[NY State of Health 2024 Open Enrollment](https://drive.google.com/file/d/15xu-gpdjhqGH49OHjxPsPgm03tPg1QDe/view?usp=drive_link)

Informational; no Board Action requested

Stana Nakhle, NYC Director of Outreach (New York State Dept. of Health)

NY State of Health is where over 6.7 million New Yorkers shop for, compare, and enroll in health insurance coverage. Some plans are free and many New Yorkers (including those with higher incomes who did not qualify before) are eligible for financial assistance and extended federal tax credits. The open enrollment period for 2024 is now open.

B. Smith

E. Anadu"	Snippet
50	agenda_markdowns/2024_02_07_HESS_agenda.md	2024-02-07	"6. **PRESENTATION and PUBLIC Q&A:**  
NYC Health & Hospitals - [Updates on Hall Street HERRC Shelter](https://drive.google.com/file/d/1hjd7YMGjYeLGq8gewxRn7AU4vRhZLs-h/view?usp=drive_link)

Informational; no Board Action requested

Laura Atlas, Senior Director of External Affairs (NYC Health & Hospitals)

Last summer, the 600-capacity [emergency respite site on Hall Street was](https://www.nyc.gov/office-of-the-mayor/news/495-23/mayor-adams-placement-two-new-humanitarian-emergency-response-relief-centers) [expanded](https://www.nyc.gov/office-of-the-mayor/news/495-23/mayor-adams-placement-two-new-humanitarian-emergency-response-relief-centers) with an additional 1,400-capacity Humanitarian Emergency Response and Relief Center (HERRC) to support adult asylum seekers with a range of services. Leadership from NYC Health & Hospitals will provide updates."	Snippet
51	agenda_markdowns/2024_02_07_HESS_agenda.md	2024-02-07	"7. **PUBLIC REVIEW and COMMITTEE ACTIONS:**  
[NY State Liquor License Applications](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-liquor-licenses/)

For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)
   
- a. [240 Dekalb](https://maps.app.goo.gl/t3GcVEWN54qdmC8Q6)
  Fly Private Social
  [LWBC application](https://drive.google.com/file/d/1LBHfD9rnB8qqzB67zJvYj-RVGao9nEXb/view?usp=drive_link)

- b. [50 Henry](https://maps.app.goo.gl/yV3CyydQDb36hp5x5)
  50 Slices LLC
  [LWBC application](https://drive.google.com/file/d/1Ec1yvGr-HaAIRs0xjcAqBYe5qOpCgcWb/view?usp=drive_link)

- c. [33 Lafayette](https://maps.app.goo.gl/fTqGbFCYxgEjutX4A)
  Le Baba Cool, Inc
  [LWBC application](https://drive.google.com/file/d/1sVsGAEL5pgbzjXr20a7tUimegkgi76eE/view?usp=drive_link)

- d. [28 Jay](https://maps.app.goo.gl/1cDW4vPUyafBr7hV8)
  20 Jay St Wine
  [WBC application](https://drive.google.com/file/d/1OfivLz_kBrxkyDLfBOUDZR5RLXojsYbh/view?usp=drive_link)

- e. [18 Putnam](https://maps.app.goo.gl/H9M5ryCdb6uRjEBj8)
  SMOR
  [WBC application](https://drive.google.com/file/d/1oLfaVaVIY0ijlE58kPSDqYOBt7qxFjK1/view?usp=drive_link)

- f. [763 Fulton](https://maps.app.goo.gl/t4fauosYrgQFuW4b6)
  Buka
  [WBC application](https://drive.google.com/file/d/178qw5TXjQIP_pbWvLV9Hwosu6KhGOtcW/view?usp=drive_link)

No details submitted; Automatic Stipulations to be issued by District Office

- g. [128 Montague](https://maps.app.goo.gl/CrmcuHzwNnPzKwAd6)
  Khaosan
  CORP CHANGE - no details filed

Requirements met for an Automatic Waiver to be issued by District Office

- h. [141 Bridge Park Dr](https://drive.google.com/file/d/1BWUzr5KMIZY5tqXV1Pgzz7eLhawodx0a/view?usp=drive_link)  
  Kiwami NYC Inc  
  [WBC/Early Closure/No Residents]"	Snippet
52	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

<!-- image -->

Antonio Reynoso 19th Borough President of Brooklyn

<!-- image -->"	Snippet
53	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:  
Brandon Smith (Chair), Nicole McKnight (Vice Chair),  
Jessica Thurston (Secretary), Emily Anadu (Secretary Pro Tempore)

Members:  
Jannett Akent, Clara Alston, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:

Wednesday, March 06, 2024 @ 6:00 PM"	Snippet
54	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"5. PRESENTATION and PUBLIC Q&A:

[Office of Nightlife (ONL) at NYC Dept of Small Business Services (SBS)](https://www.nyc.gov/site/sbs/businesses/nightlife.page)

Informational; no Board Action requested

Jeffrey Garcia, Executive Director (Office of Nightlife @ NYC SBS)

The [Office of Nightlife (ONL)](https://www.nyc.gov/site/sbs/businesses/nightlife.page) at the NYC Dept of Small Business Services (SBS) serves as a central point of contact among the nightlife industry, community, and city agencies, and as a resource for all New Yorkers. ONL's new Executive Director will share an overview of their programs including a new joint policy initiative with the NYPD called [Coordinating a United Response with Establishments (CURE)](https://www.nyc.gov/office-of-the-mayor/news/995-23/mayor-adams-launches-effort-enhance-nightlife-safety-strengthen-small-businesses-phasing#/0), which engages venues to help resolve quality of life issues and complaints."	Snippet
55	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"6. PUBLIC REVIEW and COMMITTEE ACTION:

[NY State Adult Use Retail Dispensary Application](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-cannabis-licenses/)

For Recommendation to the [NY State Office of Cannabis Management](https://cannabis.ny.gov/)

[436 Albee Sq West](https://maps.app.goo.gl/j6B5o1hgJfmQLegH6)

Society House

[CAURD-Provisional application](https://drive.google.com/file/d/14e_bRM2mZ-gBSiN0TH5n0RJfkjIXFKc_/view?usp=drive_link)"	Snippet
56	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"7. PUBLIC REVIEW and COMMITTEE ACTIONS:

[NY State Liquor License Applications](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-liquor-licenses/)

For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

- a. [110 Smith](https://maps.app.goo.gl/U3Q5g6frbBGM2sAQ6)

Tipsy Grape

[Class Change application](https://drive.google.com/file/d/1bqsYV8V2KYGTsvXzUqzopGWpOcr256Pb/view?usp=drive_link)

- b. [148 Montague](https://maps.app.goo.gl/hJkFDGfdY3uSVHug7)

Lady Wortley LLC

[LWBC application](https://drive.google.com/file/d/1Xj_cSM6FRw28t8F7Yx4tD0pXRYkxGsts/view?usp=drive_link)"	Snippet
57	agenda_markdowns/2024_03_06_HESS_agenda.md	2024-03-06	"Requirements met for an Automatic Waiver issued by the District Office

- c. [142 Montague](https://maps.app.goo.gl/cDZ5fu8hwipAca4j9)

Donburi Lab

[WBC / Early Closure](https://drive.google.com/file/d/1JFFgpo7suzpoda0ty7dD6bz3-Co9tNam/view?usp=drive_link)

- d. [445 Gold](https://maps.app.goo.gl/G4re1qmeouNf3Mo68)

Osteria Dekalb

[LWBC / Umbrella + Early Closure](https://drive.google.com/file/d/1thCkA1tIGJATlspvpXr5HEmy5A_WLHef/view?usp=drive_link)"	Snippet
58	agenda_markdowns/2024_04_03_HESS_agenda.md	2024-04-03	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:  Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary), Emily Anadu (Secretary Pro Tempore)

Members:  Jannett Akent, Clara Alston, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
59	agenda_markdowns/2024_04_03_HESS_agenda.md	2024-04-03	"5. **PRESENTATION and PUBLIC Q&A:**
   
   [Brooklyn SWAB](https://www.nyc.gov) - Brooklyn Solid Waste Advisory Board
   
   Letter of Support requested

   Shari Rueckl, Outreach Committee Chair

   *The Solid Waste Advisory Boards (SWABs)* are volunteer advisory boards appointed by the Borough Presidents and include a diverse group of residents, advocates, and industry representatives. Created in 1989, the SWABs advise the Borough President and City Officials on solid waste issues such as recycling, reduction, resiliency, and environmental equity with a goal of achieving zero waste. The Brooklyn SWAB holds public meetings on the first Monday of every month."	Snippet
60	agenda_markdowns/2024_04_03_HESS_agenda.md	2024-04-03	"6. **PUBLIC REVIEW and COMMITTEE ACTIONS:** [NY State Liquor License Applications](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-liquor-licenses/)

   **For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)**

   a. [311 Henry](https://maps.app.goo.gl/kKSMru9GVdxTWM2j8) - Cafe Buon Gusto
      
      [WBC application](https://drive.google.com/file/d/1CkSu2k1cyUNwaPdfrj24_Hrr2kC_DrD_/view?usp=drive_link)

   b. [68 Jay #117](https://maps.app.goo.gl/QJJuTfWdoL9CNeFi9) - RA Theatre Corp
      
      [WBC application](https://drive.google.com/file/d/1GzgRTrRTB1UXNrxic4Yd8qWEqTsIVGFE/view?usp=drive_link)

      No details submitted; Automatic Stipulations issued by the District Office

   c. [222-226 Greene](https://maps.app.goo.gl/uLn8MGv9kCC4u7f39) - Taylormade

      LWBC - no details submitted

      Requirements met for an Automatic Waiver issued by the District Office

   d. [139 Flatbush](https://maps.app.goo.gl/NypcGCSMq4uTcRTj6) - Buffalo Wild Wings

      LWBC - Umbrella Operator

   e. [18 Sixth](https://maps.app.goo.gl/dZkVbH3c39dYU4xu5) - Life Time Fitness

      WBC - Umbrella Operator"	Snippet
61	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"CITY OF NEW YORK Brooklyn Community Board No. 2

Eric L. Adams 110th Mayor of New York City

Lenue H. Singletary, III Chairperson

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
62	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair),

Jessica Thurston (Secretary)

Members:

Jannett Akent, Emily Anadu, Akosua Cobb, Monique Cumberbatch,

Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:

Wednesday, May 01, 2024 @ 6:00 PM

[350 Jay St, Brooklyn NY 11201](https://goo.gl/maps/gZtBrHLm2jvkKUU89) / 8th Floor Conference Room"	Snippet
63	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"5. PRESENTATION and PUBLIC Q&A: [NYC Department for the Aging (DFTA)](https://www.nyc.gov/site/dfta/index.page)

Informational; no Board Action required

Ruth Codero, Director of NORC Programs (DFTA)

Naturally Occurring Retirement Communities (NORC) are a housing development or a building that over time have become home to many older adults. There are around 60 NORCs in NYC that have a social service provider that offers services to older residents. The Dept for the Aging funds 36 of them. Every NYC Aging-funded NORC provides services and activities that help residents stay engaged, healthy and active, to help them age in their home with family and friends.

B. Smith"	Snippet
64	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"6. PRESENTATION and PUBLIC Q&A: [NYC Dept of Sanitation (DSNY)](https://www.nyc.gov/site/dsny/)

Informational; no Board Action required

Speaker TBD

The NYC Department of Sanitation (DSNY) keeps NYC clean, safe, and healthy by collecting, recycling, and disposing of waste, cleaning streets, attacking the scourge of illegal dumping, and clearing snow and ice. DSNY collects 24 million pounds of trash, recycling, and compostable material every day."	Snippet
65	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"7. PUBLIC REVIEW and COMMITTEE ACTIONS:

For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

  a. [9 Old Fulton](https://maps.app.goo.gl/XYvti8) Siam Harbour Corp

  [LWBC application](https://drive.google.com/file/d/19E2mZS--_CvhvcQCh9wr5ufOiDesrgcg/view?usp=drive_link)

  b. [9 Old Fulton](https://maps.app.goo.gl/XYvti8) Siam Harbour Corp

  [WBC application](https://drive.google.com/file/d/19E2mZS--_CvhvcQCh9wr5ufOiDesrgcg/view?usp=drive_link)

  c. [360 Myrtle](https://maps.app.goo.gl/js67KbstJYaTkjDz6) Third Falcon

  [WBC application](https://drive.google.com/file/d/1cmiFJjuqQwGFnwp5adUmr85gnymTY3Ox/view?usp=drive_link)"	Snippet
66	agenda_markdowns/2024_05_01_HESS_agenda.md	2024-05-01	"No details submitted; Automatic Stipulations recommended

  d. [757 Fulton](https://maps.app.goo.gl/6Ddtn3VYVc7q1zZW8)

  Habana Outpost

  LWBC -no details submitted

  e. [485 Myrtle](https://maps.app.goo.gl/25fJCxEZUk1KZPbn6)

  Waza Sushi & Ramen

  WBC -no details submitted"	Snippet
67	agenda_markdowns/2024_06_05_HESS_agenda.md	2024-06-05	"CITY OF NEW YORK Brooklyn Community Board No. 2

<!-- image -->

Eric L. Adams 110th Mayor of New York City

Lenue H. Singletary, III Chairperson

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
68	agenda_markdowns/2024_06_05_HESS_agenda.md	2024-06-05	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members:

Jannett Akent, Emily Anadu, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
69	agenda_markdowns/2024_06_05_HESS_agenda.md	2024-06-05	"5. PUBLIC REVIEW and COMMITTEE ACTION:

   For Recommendation to the

   [NY State Office of Addiction Services & Supports (OASAS)](https://oasas.ny.gov/)

   START Treatment & Recovery Centers - [Application to Expand Services](https://drive.google.com/file/d/1ma-cCBn10WmBFm0qxJE2ikO3cqGK3dXP/view?usp=drive_link)"	Snippet
70	agenda_markdowns/2024_06_05_HESS_agenda.md	2024-06-05	"6. PUBLIC REVIEW and COMMITTEE ACTIONS:

   For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

   - a. [757 Fulton](https://maps.app.goo.gl/6Ddtn3VYVc7q1zZW8) Habana Outpost [LWBC application](https://drive.google.com/file/d/1h943z2bOzjMlYRQKmg0rYwGENDDyzT8g/view?usp=drive_link)
   - b. [216 1/2 Greene](https://maps.app.goo.gl/i8CrvpaahNCwHL2a9) Golden Ratio [LWBC application](https://drive.google.com/file/d/1kOTanw5ReGAA3c3onCXVsDaFnRUUc8ZO/view?usp=drive_link)
   - c. [485 Myrtle](https://maps.app.goo.gl/25fJCxEZUk1KZPbn6) Waza Sushi & Ramen [WBC application](https://drive.google.com/file/d/1z6_-imlcrdfuYdsGXtWdgQYltnmwmMse/view?usp=drive_link)

   No details submitted; Automatic Stipulations recommended

   - d. 117 Adams El Gallo Taqueria WBC - no details submitted"	Snippet
71	agenda_markdowns/2024_06_05_HESS_agenda.md	2024-06-05	"7. PUBLIC DISCUSSION and Q&A: FY26 Community District Statement of Needs ('CD Needs')

Informational; no Board Action needed

Every Halloween, the [59 Community Boards of NYC](https://communityboards.nyc) submit a [Community District Needs ('CD Needs') Statement](https://communityneeds.nyc) identifying the current top funding priorities for their Community Districts. These statements are key to informing the City's local infrastructure planning, and the equitable and efficient delivery of services. City agencies are required to respond to each Community Board's requests in the January Preliminary City Budget.

In the month of June, the District Office offers each Committee a preview of the process and timeline, and leads a brainstorming exercise by Committee topic."	Snippet
72	agenda_markdowns/2024_09_04_HESS_agenda.md	2024-09-04	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Committee

Members:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary), Emily Anadu, Alvin Browne, Akosua Cobb, Monique Cumberbatch, Kyiesha Kelly,

Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
73	agenda_markdowns/2024_09_04_HESS_agenda.md	2024-09-04	"5. PUBLIC REVIEW and COMMITTEE ACTION:
   
   For Recommendation to the [NYS Office of Addiction Services & Supports](https://oasas.ny.gov/)

   [101 Willoughby](https://maps.app.goo.gl/oQQjZfRBpEjkraW96)
   
   [Sands House](https://sands-house-inc.ueniweb.com/) [application](https://drive.google.com/file/d/1FMLkOqzxKaSFkfynhoMDKumh8OqycZwU/view?usp=drive_link)"	Snippet
74	agenda_markdowns/2024_09_04_HESS_agenda.md	2024-09-04	"6. PUBLIC REVIEW and COMMITTEE ACTIONS:

   For Recommendation to the [NYS Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)

   - a. [530 Fulton](https://maps.app.goo.gl/to2v9JJru2egMgmW7)

     DTCHONE LLC

     [application](https://drive.google.com/file/d/1jLMtA7-5UFKlSTiAidYElx9EeWqoi2Ic/view?usp=drive_link)

   - b. [237 Dekalb](https://maps.app.goo.gl/yNnafbaN5nGEx46U6)

     Soulmate

     [application](https://drive.google.com/file/d/1DilgyTXdvePq9s9wQmYH2A9ewd5-tasc/view?usp=drive_link)

   - c. [68 Jay](https://maps.app.goo.gl/ndoAUizA3p98ETGt9)

     NYCannaMeds

     [partial application](https://drive.google.com/file/d/184F-JplHXwomnwHwYLi-J_zRV50XZyuU/view?usp=drive_link)"	Snippet
